,en,ru,pt-br,es-es,de,fr-fr,zh-cn,jp,ko,fi-es,,NOTES ? use \n for newline,max length
action_hitfx_critical_water,Critical on wet (water) enemies,Крит. удар влажным (от воды) врагам,Critico em inimigos molhados (agua),Critico mojado (agua),Kritischer Treffer bei nassen Feinden (Wasser),Critique sur les ennemis mouilles (eau),潮?（浸水）?人暴?,濡れている(水の)敵へのクリティカル,물에 젖은 적에게 치명타,,,,
actiondesc_hitfx_critical_water,Adds 100% critical hit chance to projectiles on wet (water) enemies,Добавляет 100% к вероятности критического удара влажным (от воды) врагам,Adiciona 100% de chance de acerto critico para projeteis em inimigos molhados (agua).,Anade un 100 % de probabilidad de critico al proyectil contra enemigos mojados (agua),"Erhoht die Chance auf kritische Treffer bei Projektilen, die auf nasse Feinde (Wasser) treffen, um 100 %",Ajoute 100 % de chance de coup critique aux projectiles contre les ennemis mouilles (eau),??潮?（浸水）?人，?投射物增加 100% 暴??率,濡れている(水の)敵に?たった放射物へ、100%のクリティカルヒットの確率を追加する,물에 젖은 적에게 명중 시 발사체 치명타 확률이 100% 증가합니다.,,,,
action_hitfx_critical_oil,Critical on oiled enemies,Крит. удар врагам в нефти,Critico em inimigos untados,Critico aceitoso,Kritischer Treffer bei geolten Feinden,Critique contre les ennemis huiles,油??人暴?,オイルまみれの敵へのクリティカル,기름투성이 적에게 치명타,,,,
actiondesc_hitfx_critical_oil,Adds 100% critical hit chance to projectiles on oiled enemies,Добавляет 100% к вероятности критического удара врагам в нефти,Adiciona 100% de chance de acerto critico para projeteis em inimigos untados.,Anade un 100 % de probabilidad de critico al proyectil contra enemigos aceitosos,"Erhoht die Chance auf kritische Treffer bei Projektilen, die auf geolte Feinde treffen, um 100 %",Ajoute 100 % de chance de coup critique aux projectiles contre les ennemis huiles,??油??人，?投射物增加 100% 暴??率,オイルまみれの敵に?たった放射物へ、100%のクリティカルヒットの確率を追加する,기름투성이인 적에게 명중 시 발사체 치명타 확률이 100% 증가합니다.,,,,
action_hitfx_critical_blood,Critical on bloody enemies,Крит. удар окровавленным врагам,Critico em inimigos ensanguentados,Critico ensangrentado,Kritischer Treffer bei blutigen Feinden,Critique contre les ennemis ensanglantes,染血?人暴?,血まみれの敵へのクリティカル,피투성이 적에게 치명타,,,,
actiondesc_hitfx_critical_blood,Adds 100% critical hit chance to projectiles on bloody enemies,"Добавляет 100% к вероятности критического удара врагам, покрытым кровью",Adiciona 100% de chance de acerto critico para projeteis em inimigos ensanguentados.,Anade un 100 % de probabilidad de critico al proyectil contra enemigos ensangrentados,"Erhoht die Chance auf kritische Treffer bei Projektilen, die auf blutige Feinde treffen, um 100 %",Ajoute 100 % de chance de coup critique aux projectiles contre les ennemis ensanglantes,??染血?人，?投射物增加 100% 暴??率,血まみれの敵に?たった放射物へ、100%のクリティカルヒットの確率を追加する,피투성이인 적에게 명중 시 발사체 치명타 확률이 100% 증가합니다.,,,,
action_hitfx_poltergeist,Poltergeist,Полтергейст,Aparicao,Poltergeist,Poltergeist,Poltergeist,??,ポルタ?ガイスト,폴터가이스트,,,,
actiondesc_hitfx_poltergeist,Imbues spells cast alongside it with the power to animate physical objects,Накладываемые параллельно заклинания способны оживлять физические объекты,Imbui feiticos lancados perto deste com o poder de animar objetos fisicos.,Los hechizos lanzados con este ganan el poder de animar objetos fisicos,"Erfullt zusatzlich gewirkte Zauber mit der Macht, physische Objekte zu bewegen",Donne aux sorts lances avec celui-ci le pouvoir de donner vie aux objets physiques,??之施放的法??予令物理?象活?的力量,詠唱された呪文を、物理オブジェクトに命を吹き?むパワ?と一?に染み?ませる,함께 시전된 주문들이 사물을 움직일 수 있게 됩니다.,,,,
action_fireball_ray,Fireball thrower,Метатель огненных шаров,Arremessador de bola de fogo,Bolas de fuego,Feuerballwerfer,Lanceur de boules de feu,火球?射器,火の玉スロ?ワ?,화염구 투석,,,,
actiondesc_fireball_ray,Causes the projectile to cast fireballs in random directions as it flies,Заставляет снаряд в полёте испускать огненные шары в случайных направлениях,Faz o projetil lancar bolas de fogo em direcoes aleatorias em seu trajeto.,Hace que el proyectil lance bolas de fuego mientras se desplaza,"Bewirkt, dass das Projektil im Flug Feuerballe in zufallige Richtungen schießt",Le projectile en vol lance des boules de feu dans des directions aleatoires,令投射物在?行中向?机方向?射火球,放射物が飛行中にランダムな方角へ火の玉を?射するようにする,발사체가 날아가면서 무작위 방향으로 화염구를 시전합니다.,,,,
action_hitfx_oiled_freeze,Oil freeze,Заморозка нефти,Congelando petroleo,Aceite congelante,Olfrost,Gel d'huile,油???,オイル凍結,기름 얼리기,,,,
actiondesc_hitfx_oiled_freeze,Enemies drenched in oil freeze on collision with projectile,Покрытые нефтью враги при столкновении со снарядом замерзают,Inimigos cobertos em petroleo congelam ao serem atingidos por um projetil.,Los enemigos aceitosos se congelan al ser alcanzados por el proyectil,"Feinde, die in Ol getrankt sind gefrieren, wenn sie vom Projektil getroffen werden",Les ennemis imbibes d'huile sont geles lorsqu'ils sont touches par le projectile,投射物?撞?人?，令?人沾?油??被??,オイルまみれになっている敵が放射物に?たると凍結する,기름에 젖은 적들이 발사체와 충돌 시 얼어붙습니다.,,,,
action_alcohol_shot,Alcohol shot,Алкоголь выстрел,Disparo alcoolico,Golpe alcoholizante,Alkoholschuss,Tir alcoolise,美酒一杯,アルコ?ルショット,알코올 사격,,,,
actiondesc_alcohol_shot,Enemies hit become drunk for a while on collision with projectile,При столкновении со снарядом враги на некоторое время опьяняются,Os inimigos ficam bebados por algum tempo ao serem atingidos por um projetil.,Los enemigos alcanzados por el proyectil quedan emborrachados durante un tiempo,"Feinde werden fur einige Zeit betrunken, wenn sie von Projektilen getroffen werden",Les ennemis deviennent ivres pendant un moment lorsqu'ils sont touches par le projectile,投射物?撞?人?，短???令?人酩酊大醉,放射物に?たった敵は、しばらくの間に泥??態になる,발사체에 명중한 적이 술에 취한 상태가 됩니다.,,,,
action_freeze_if_wet_shooter,Freeze if wet,Заморозка влагой,Molhado congelante,Congelar al mojarse,Frost bei Nasse,Gel si mouille,化水??,??は凍結,젖은 상태면 얼리기,,,,
actiondesc_freeze_if_wet_shooter,"If caster is wet, enemies will be frozen on collision with projectile","Если заклинатель покрыт влагой, враги при столкновении со снарядом будут замораживаться","Se o lancador estiver molhado, os inimigos serao congelados ao serem atingidos por um projetil.","Si el lanzador esta mojado, sus proyectiles congelan","Wenn der Wirker nass ist, gefrieren die Feinde beim Aufprall des Projektils","Si le lanceur est mouille, les ennemis seront geles lorsqu'ils sont touches par le projectile",施?者潮???下，投射物?撞?人???令?人??,詠唱者が濡れている場合、敵が放射物に接?すると凍結する,시전자가 젖은 상태면 발사체에 명중한 적이 얼어붙습니다.,,,,
action_blindness,Blindness,Слепота,Cegueira,Ceguera,Blindheit,Aveuglement,目盲,盲目,실명,,,,
actiondesc_blindness,I can't see!,Ничего не вижу!,Nao enxergo nada!,¡No veo nada!,Ich kann nichts sehen!,Je ne vois rien !,我看不?了！,何も見えない！,눈이 안 보여요!,,,,
action_teleportation,Teleportation,Телепортация,Teletransporte,Teletransporte,Teleportierung,Teleportation,?送,テレポ?テ?ション,텔레포트,,,,
actiondesc_teleportation,Spells cast alongside this will teleport enemies,Накладываемые параллельно заклинания телепортируют врагов,Feiticos lancados perto deste com esse teletransportarao inimigos.,Los hechizos lanzados con este teletransportan a los enemigos,"Zauber, die hiermit gewirkt werden, teleportieren Feinde",Les sorts lances avec teleporteront les ennemis,?之施放的法??可??人?送,これと同時にかけられた呪文は敵をテレポ?トする,주문이 적을 텔레포트시킵니다.,,,,
action_telepathy,Telepathy,Телепатия,Telepatia,Telepatia,Telepathie,Telepathie,心?感?,テレパシ?,텔레파시,,,,
actiondesc_telepathy,Sense other beings through walls,Позволяет ощущать других существ сквозь стены,Sinta outros seres atraves das paredes.,Detecta a otros seres a traves de las paredes,Du nimmst andere Wesen durch Wande wahr,Detectez les autres creatures a travers les murs,透??壁感?其他存在,壁を通して他の存在を感知する,벽 너머에 있는 다른 존재를 감지합니다.,,,,
action_arc_electric,Electric Arc,Электрическая дуга,Arco eletrico,Arco electrico,Lichtbogen,Arc electrique,?弧,電?ア?ク,전기 아크,,,,
actiondesc_arc_electric,Projectiles will have arcs of lightning surging between them,Между снарядами будут электрические дуги,Os projeteis terao arcos de raio se movendo entre eles.,Arcos electricos surgen entre los proyectiles,Zwischen Projektilen fließen elektrische Lichtbogen.,Les projectiles seront parcourus d'arcs electriques,投射物之??有???弧涌?,放射物の間で弧を描く?妻が湧き上がる,발사체들 사이에 전기 아크가 발생합니다.,,,,
action_arc_fire,Fire Arc,Огненная дуга,Arco de fogo,Arco de fuego,Feuerbogen,Arc de feu,火焰弧,炎のア?ク,화염 아크,,,,
actiondesc_arc_fire,Projectiles will have arcs of fire burning between them,Между снарядами будут огненные дуги,Os projeteis terao arcos de fogo queimando entre eles.,Arcos de fuego surgen entre los proyectiles,Zwischen Projektilen brennen Feuerbogen.,Les projectiles seront parcourus d'arcs de feu,投射物之??有由火焰?成的弧??,放射物の間で弧を描く炎が燃え盛る,발사체들 사이에 불이 발생합니다.,,,,
action_arc_gunpowder,Gunpowder Arc,Пороховая дуга,Arco de polvora,Arco de polvora,Schießpulver-Bogen,Arc de poudre a canon,火?弧,火?ア?ク,화약 아크,,,,
actiondesc_arc_gunpowder,Projectiles will have arcs of gunpowder flowing between them,Между снарядами будут пороховые дуги,Os projeteis terao arcos de polvora fluindo entre eles.,Arcos de polvora surgen entre los proyectiles,Zwischen Projektilen fließen Schießpulverbogen.,Les projectiles seront parcourus d'arcs de poudre a canon,投射物之??有由火??成的弧出?,放射物の間で弧を描いて火?が流れる,발사체들 사이에 화약이 흐릅니다.,,,,
action_arc_poison,Poison Arc,Ядовитая дуга,Arco de veneno,Arco venenoso,Giftbogen,Arc de poison,毒液弧,猛毒ア?ク,독 아크,,,,
actiondesc_arc_poison,Projectiles will have arcs of poison flowing between them,Между снарядами будут ядовитые дуги,Os projeteis terao arcos de veneno fluindo entre eles.,Arcos de veneno surgen entre los proyectiles,Zwischen Projektilen fließen Giftbogen.,Les projectiles seront parcourus d'arcs de poison,投射物之??有由毒素?成的弧出?,放射物の間で弧を描いて毒が流れる,발사체들 사이에 독이 흐릅니다.,,,,
action_polymorph,Polymorph charge,Polymorph charge,Polymorph charge,Polymorph charge,Polymorph-Ladung,Polymorph charge,?形放射,多形?チャ?ジ,변신 충전,,,,
actiondesc_polymorph,Baaaaa,Бе-е-е-е,Baaaaa!,Beeeee,Maaaah,Beeeee,????,バ????,메에에에,,,,
action_berserk,Berserk,Неистовство,Furia,Berserker,Berserker,Berserker,狂暴,バ?サ?ク,버서커,,,,
actiondesc_berserk,"Target enters a state of wild fury, attacking anyone nearby and getting a 2x damage boost",Цель впадает в дикую ярость и атакует всех поблизости с двухкратным увеличением урона,"O alvo entra em um estado de furia descontrolada, atacando todos que estiverem proximos com o dobro do dano.","El objetivo se vuelve furioso, atacando a cualquiera que este cerca con una bonificacion de dano doble.","Das Ziel verfallt in einen Zustand wilder Wut, greift jeden in der Nahe an und richtet doppelten Schaden an","La cible entre dans un etat de folie furieuse, attaquant quiconque se trouve a proximite et beneficiant d'un boost de degats x2",目??入狂怒??，攻?附近的一切??得 2x ?害加成,タ?ゲットは激高?態になり、近くにいる全員を攻?し、2倍のダメ?ジブ?ストを手に入れる,대상이 미친듯이 날뛰며 근처에 있는 모든 것을 공격하고 피해를 2배 입힙니다.,,,,
action_charm,Charm,Чары,Charme,Embrujar,Bezauberung,Charme,迷惑,チャ?ム,매료,,,,
actiondesc_charm,Target becomes friendly to the caster,Цель становится дружественной к заклинателю,O alvo fica nao hostil ao lancador.,El objetivo se vuelve amistoso,Das Ziel wird freundlich gegenuber dem Wirker,La cible devient amicale envers le lanceur,目??施?者?得友好,タ?ゲットが詠唱者に?して友好的になる,대상이 시전자의 아군이 됩니다.,,,,
action_x_ray,All-seeing eye,Всевидящее око,O olho que tudo ve,El ojo que todo lo ve,Allsehendes Auge,Œil omniscient,全知之眼,お見通し,천리안,,,,
actiondesc_x_ray,See into the unexplored. But not everywhere...,Узрите неизведанное. Но не везде…,"Veja o inexplorado, mas nao todo lugar...",Mira hacia lo desconocido. Pero no funciona con todos los lugares...,Sehe das Unergrundete. Aber nicht uberall …,Sondez l'inconnu. Mais pas partout...,??未曾探索?域，但?非毫无限制...,まだ行ったこのない場所を見ることができる。だが、どこでもというわけではない…,탐사하지 않은 곳을 볼 수 있습니다. 모든 곳을 볼 수 있는 건 아닙니다...,,,,
action_x_ray_modifier,X-ray modifier,Рентгеновский модификатор,Modificador de raio x,Modificador rayos X,Rontgen-Modifikator,Modificateur rayons X,透?修正,レントゲン調整盤,X-레이 조작,,,,
actiondesc_x_ray_modifier,Projectile lights the way in the darkness,Снаряд освещает путь в темноте,Os projeteis iluminam o caminho na escuridao.,El proyectil ilumina el camino en la oscuridad,Projektile beleuchten den Weg in der Dunkelheit,Le projectile eclaire le chemin dans les tenebres,投射物照亮黑暗中的路途,放射物が闇に光を照らす,발사체가 어둠 속을 밝힙니다.,,,,
action_acid,Acid,Кислота,Acido,Acido,Saure,Acide,酸液,酸,산성,,,,
actiondesc_acid,Projectiles turn into acid on collision,Снаряды при столкновении превращаются в кислоту,Os projeteis se tornam acido no impacto.,Los proyectiles se transforman en acido al impactar,Projektile verwandeln sich beim Aufprall in Saure,Le projectile se transforme en acide a l'impact,投射物?撞?化?酸液,放射物が接?時に酸に?わる,발사체가 충돌 시 산성 물질이 됩니다.,,,,
action_unstable_gunpowder,Firecrackers,Хлопушка,Bombinhas,Petardos,Feuerwerkskorper,Petards,爆竹,爆竹,불꽃놀이,,,,
actiondesc_unstable_gunpowder,Projectiles explode multiple times on impact,Снаряды при ударе взрываются несколько раз,Os projeteis explodem varias vezes no impacto.,Los proyectiles explotan varias veces al impactar,Projektile explodieren beim Aufprall mehrmals,Les projectiles exploseront plusieurs fois a l'impact,投射物?中目???生多次爆炸,放射物が衝?で複?回爆?する,발사체가 충돌 시 여러 번 폭발합니다.,,,,
action_acid_trail,Acid trail,Кислотный след,Trilha de acido,Rastro de acido,Saurespur,Trainee d'acide,酸液?迹,酸の痕跡,산성 궤적,,,,
actiondesc_acid_trail,Projectiles leave a trail of acid,Снаряды оставляют след из кислоты,Os projeteis deixam uma trilha de acido.,Los proyectiles dejan un rastro de acido,Projektile hinterlassen eine Spur aus Saure,Les projectiles laissent une trainee d'acide,投射物留下酸液?迹,放射物が酸の痕跡を?す,발사체가 산성 궤적을 남깁니다.,,,,
action_poison_trail,Poison trail,Ядовитый след,Trilha de veneno,Rastro venenoso,Giftspur,Trainee de poison,毒素?迹,毒の痕跡,독 궤적,,,,
actiondesc_poison_trail,Projectiles leave a trail of poison,Снаряды оставляют след из яда,Os projeteis deixam uma trilha de veneno.,Los proyectiles dejan un rastro venenoso,Projektile hinterlassen eine Spur aus Gift,Les projectiles laissent une trainee de poison,投射物留下毒素?迹,放射物が毒の痕跡を?す,발사체가 독 궤적을 남깁니다.,,,,
action_oil_trail,Oil trail,Нефтяной след,Trilha de petroleo,Rastro de aceite,Olspur,Trainee d'huile,油液?迹,オイルの痕跡,기름 궤적,,,,
actiondesc_oil_trail,Projectiles leave a trail of oil,Снаряды оставляют след из нефти,Os projeteis deixam uma trilha de petroleo.,Los proyectiles dejan un rastro de aceite,Projektile hinterlassen eine Spur aus Ol,Les projectiles laissent une trainee d'huile,投射物留下油液?迹,放射物がオイルの痕跡を?す,발사체가 기름 궤적을 남깁니다.,,,,
action_water_trail,Water trail,Водной след,Trilha de agua,Rastro de agua,Wasserspur,Trainee d'eau,?水?迹,水の痕跡,물 궤적,,,,
actiondesc_water_trail,Projectiles leave a trail of water,Снаряды оставляют след из воды,Os projeteis deixam uma trilha de agua.,Los proyectiles dejan un rastro de agua,Projektile hinterlassen eine Spur aus Wasser,Les projectiles laissent une trainee d'eau,投射物留下?水?迹,放射物が水の痕跡を?す,발사체가 물 궤적을 남깁니다.,,,,
action_blood_trail,Blood trail,Кровавый след,Trilha de sangue,Rastro de sangre,Blutspur,Trainee de sang,血液?迹,血の痕跡,피 궤적,,,,
actiondesc_blood_trail,Projectiles leave a trail of blood,Снаряды оставляют след из крови,Os projeteis deixam uma trilha de sangue.,Los proyectiles dejan un rastro de sangre,Projektile hinterlassen eine Spur aus Blut,Les projectiles laissent une trainee de sang,投射物留下血液?迹,放射物が血の痕跡を?す,발사체가 피 궤적을 남깁니다.,,,,
action_gunpowder_trail,Gunpowder trail,Пороховой след,Trilha de polvora,Rastro de polvora,Schießpulverspur,Trainee de poudre a canon,火??迹,火?の痕跡,화약 궤적,,,,
actiondesc_gunpowder_trail,Projectiles leave a trail of gunpowder,Снаряды оставляют след из пороха,Os projeteis deixam uma trilha de polvora.,Los proyectiles dejan un rastro de polvora,Projektile hinterlassen eine Spur aus Schießpulver,Les projectiles laissent une trainee de poudre a canon,投射物留下火??迹,放射物が火?の痕跡を?す,발사체가 화약 궤적을 남깁니다.,,,,
action_fire_trail,Fire trail,Огненный след,Trilha de fogo,Rastro de fuego,Feuerspur,Trainee de feu,火焰?迹,炎の痕跡,화염 궤적,,,,
actiondesc_fire_trail,Projectiles leave a trail of fiery particles,Снаряды оставляют след из огненных частиц,Os projeteis deixam uma trilha de particulas flamejantes.,Los proyectiles dejan un rastro de fuego,Projektile hinterlassen eine Spur aus Feuer,Les projectiles laissent une trainee de particules enflammees,投射物留下??粒子的?迹,放射物が火花の痕跡を?す,발사체가 화염 궤적을 남깁니다.,,,,
action_burn_trail,Burning trail,Горящий след,Trilha flamejante,Rastro ardiente,Brennende Spur,Trainee brulante,燃??迹,燃?の痕跡,타오르는 궤적,,,,
actiondesc_burn_trail,A tail of fire follows the projectile,За снарядом остается след из огня,Uma trilha de fogo segue o projetil.,Un rastro de fuego sigue al proyectil,Eine Spur aus Feuer folgt dem Projektil,Une trainee de feu suit le projectile,投射物后有火焰尾迹,炎の痕跡が放射物を追尾する,발사체 뒤에 불이 따라갑니다.,,,,
action_torch,Torch,Факел,Tocha,Antorcha,Fackel,Torche,火把,たいまつ,횃불,,,,
actiondesc_torch,Lights your wand right up!,Зажгите свой жезл!,Acende a sua varinha!,¡Ilumina tu varita al instante!,Entzundet deinen Zauberstab!,Embrase votre baguette !,??的魔杖亮起?！,杖を一?に明るく！,완드를 높이 드세요!,,,,
action_torch_electric,Electric Torch,Электрический факел,Tocha eletrica,Antorcha electrica,Elektrische Fackel,Torche electrique,?子火把,電?たいまつ,전기 횃불,,,,
actiondesc_torch_electric,A bright but very dangerous light!,"Яркий, но очень опасный свет!","Uma luz brilhante, porem muito perigosa!",¡Una luz muy brillante pero peligrosa!,Ein helles aber sehr gefahrliches Licht!,Une lumiere brillante mais tres dangereuse !,明亮而?度危?的光！,明るいが、非常に危?な光！,아주 위험하지만 매우 밝습니다!,,,,
action_light,Light,Свет,Luz,Luz,Licht,Lumiere,光,ライト,빛,,,,
actiondesc_light,Projectiles illuminate their surroundings,Снаряды освещают окружение,Os projeteis iluminam seus arredores.,Los proyectiles iluminan los alrededores,Projektile beleuchten die Umgebung,Les projectiles illuminent les environs,照亮周?的投射物,周?を明るく照らす放射物,발사체가 주변을 환하게 밝힙니다.,,,,
action_energy_shield,Energy shield,Энергетический щит,Escudo de energia,Escudo de energia,Energieschild,Bouclier d'energie,能量盾,エネルギ?シ?ルド,에너지 방패,,,,
actiondesc_energy_shield,Deflects incoming projectiles,Отражает летящие в вас снаряды,Deflete projeteis.,Desvia los proyectiles enemigos,Reflektiert auftreffende Projektile,Devie les projectiles,偏斜射?的投射物,向かってくる放射物の方向を?える,가까이 오는 발사체를 튕겨냅니다.,,,,
action_energy_shield_sector,Energy shield sector,Сектор энергетического щита,Setor de escudo de energia,Escudo de energia estatico,Energieschild-Sektor,Secteur de bouclier d'energie,能量盾部分,エネルギ?シ?ルドセクタ?,에너지 방패 섹터,,,,
actiondesc_energy_shield_sector,Deflects incoming projectiles,Отражает летящие в вас снаряды,Deflete projeteis.,Desvia los proyectiles enemigos,Reflektiert auftreffende Projektile,Devie les projectiles,偏斜射?的投射物,向かってくる放射物の方向を?える,가까이 오는 발사체를 튕겨냅니다.,,,,
action_duplicate_on_death,Duplicate,Дублирование,Duplicata,Duplicar,Duplikat,Copie,?制,重複,복제,,,,
actiondesc_duplicate_on_death,Projectile clones itself x2 on collision,Снаряд при столкновении создает две своих копии,O projetil cria um clone de si no impacto.,Los proyectiles se duplican al impactar,Projektil klont sich beim Aufprall zweimal,Le projectile se duplique a l'impact,投射物在撞???克隆 2 ?自身,放射物が接?時に2つに?える,발사체가 충돌 시 2개로 복제됩니다.,,,,
action_bee,Bee,Пчела,Abelha,Abeja,Biene,Abeille,蜜蜂,ハチ,벌,,,,
actiondesc_bee,Bee,Пчела,Abelha!,Abeja,Biene,Abeille,蜜蜂,ハチ,벌,,,,
action_duck,Duck,Утка,Pato,Pato,Ente,Canard,?子,アヒル,오리,,,,
actiondesc_duck,Duck!,Утка!,Pato!,¡Pato!,Ente!,Canard !,?子！,アヒル！,오리!,,,,
action_sheep,Sheep,Овца,Ovelha,Oveja,Schaf,Mouton,?羊,ヒツジ,양,,,,
actiondesc_sheep,Sheep!,Овца!,Ovelha!,¡Oveja!,Schaf!,Mouton !,?羊！,ヒツジ！,양!,,,,
action_misfire,Misfire,Осечка,Fracasso,Fallo,Fehlzundung,Rate,?火,不?,불발,,,,
actiondesc_misfire,Discard 1 spell,Убирает одно заклинание,Descarte um feitico.,Descarta 1 hechizo,Verwirft 1 Zauber,Debarrassez-vous d'un sort,抛? 1 ?法?,1つの呪文を破棄する,주문 1개를 버립니다.,,,,
action_misfire_critical,Misfire (critical),Осечка (критическая),Fracasso (critico),Fallo (critico),Fehlzundung (kritisch),Rate (critique),?火（?重）,不?(クリティカル),불발(치명타),,,,
actiondesc_misfire_critical,Permanently destroy 1 spell,Навсегда уничтожает одно заклинание,Destrua um feitico permanentemente.,Destruye un hechizo permanentemente,Zerstort dauerhaft 1 Zauber,Detruisez un sort definitivement,永久性破? 1 ?法?,1つの呪文を永久に破?する,주문 1개를 영구적으로 파괴합니다.,,,,
action_generate_random_deck_5,Generate random deck (5),Создать случайную колоду (5),Gerar baralho aleatorio (5),Generar baraja aleatoria (5),Zufallsdeck generieren (5),Genere un deck aleatoire (5),生成?机?? (5),ランダムな組み合わせを生成する(5),무작위 덱(5)을 생성합니다.,,,,
actiondesc_generate_random_deck_5,Current deck is replaced with a random deck of 5 cards,Текущая колода заменяется случайной колодой из пяти карт.,O baralho atual e substituido por um aleatorio de cinco cartas.,La baraja actual se sustituye por una baraja aleatoria de 5 cartas,Das aktuelle Deck wird durch ein zufalliges Deck aus 5 Karten ersetzt.,Le deck actuel est remplace par un deck aleatoire de 5 cartes,以 5 ??牌?成的?机??替??前??,現在の組み合わせが、5枚のカ?ドのランダムな組み合わせと入れ替えられる,현재 덱이 5개 카드로 구성된 무작위 덱으로 교체됩니다.,,,,
action_testbullet,DEBUG BULLET,ОТЛАДОЧНАЯ ПУЛЯ,BALA DE DEPURACAO,DISPARO DEPURADOR,DEBUG-KUGEL,BALLE DE DEBOGAGE,?“?”子?,デバグ銃?,디버그 총알,,,,
actiondesc_testbullet,A weak but enchanting sparkling projectile,"Очаровательно сверкающий, но слабый снаряд","Um projetil fraco, porem reluzente e encantador.",Un debil pero encantador y brillante proyectil,"Ein schwaches, aber zauberhaft funkelndes Projektil",Un projectile brillant faible mais enchanteur,弱小但?有迷人??的投射物,弱いが魅惑的なキラキラした放射物,약하지만 매력적인 빛나는 발사체입니다.,,,,
action_light_bullet,Spark bolt,Искровая молния,Virote de fagulha,Rayo de chispa,Funkenblitz,Trait d'etincelle,火花?,スパ?クボルト,불꽃 볼트,,,,
actiondesc_light_bullet,A weak but enchanting sparkling projectile,"Очаровательно сверкающий, но слабый снаряд","Um projetil fraco, porem reluzente e encantador.",Un debil pero encantador y brillante proyectil,"Ein schwaches, aber zauberhaft funkelndes Projektil",Un projectile brillant faible mais enchanteur,弱小但?有迷人??的投射物,弱いが魅惑的なキラキラした放射物,약하지만 매력적인 빛나는 발사체입니다.,,,,
action_air_bullet,Burst of air,Взрыв воздуха,Sopro de ar,Chorro de aire,Luftzug,Rafale d'air,强?流,空?破裂,공기 폭발,,,,
actiondesc_air_bullet,Brittle flow of air capable of greatly moving things,"Легкий поток воздуха, способный перемещать предметы",Sopro fragil de ar capaz de mover coisas.,Un chorro de aire insignificante capaz de mover grandes cosas,"Scharfer Luftzug, der in der Lage ist, Gegenstande weit zu bewegen",Un courant d'air capable de deplacer des choses,能??物?大幅移?的一道?流,物を大幅に動かすことのできる不安定な空?の流れ,공기가 강렬하게 움직이며 물건을 움직입니다.,,,,
action_light_bullet_trigger,Spark bolt with trigger,Искровая молния с активацией,Virote de fagulha com gatilho,Rayo de chispa activado,Funkenblitz mit Ausloser,Trait d'etincelle a declenchement,?有??的火花?,トリガ?付きのスパ?クボルト,트리거가 있는 불꽃 볼트,,,,
actiondesc_light_bullet_trigger,A spark bolt that casts another spell upon collision,"Искровая молния, при столкновении вызывает другое заклинание",Um virote de fagulha que lanca outro feitico no impacto.,Un Rayo de chispa que lanza otro hechizo al impactar,"Ein Funkenblitz, der nach dem Aufprall einen weiteren Zauber auslost.",Un trait d'etincelle qui lance un autre sort a l'impact,在?撞?施放?一法?的火花?,接?時にもう1つの呪文をかけるスパ?クボルト,충돌 시 다른 주문을 시전하는 불꽃 볼트입니다.,,,,
action_light_bullet_trigger_2,Spark bolt with double trigger,Искровая молния с двойной активацией,Virote de fagulha com gatilho duplo,Rayo de chispa doblemente activado,Funkenblitz mit Doppelausloser,Trait d'etincelle a double declenchement,?有?重??的火花?,ダブルトリガ?付きのスパ?クボルト,더블 트리거가 있는 불꽃 볼트,,,,
actiondesc_light_bullet_trigger_2,A spark bolt that casts two new spells upon collision,"Искровая молния, при столкновении вызывает два новых заклинания",Um virote de fagulha que lanca dois outros feiticos no impacto.,Un Rayo de chispa que lanza dos hechizos al impactar,"Ein Funkenblitz, der nach dem Aufprall zwei weitere Zauber auslost.",Un trait d'etincelle qui lance deux nouveaux sorts a l'impact,在?撞?施放??全新法?的火花?,接?時にさらに2つの新しい呪文をかけるスパ?クボルト,충돌 시 다른 주문 2개를 시전하는 불꽃 볼트입니다.,,,,
action_light_bullet_timer,Spark bolt with timer,Искровая молния с таймером,Virote de fagulha com cronometro,Rayo de chispa con temporizador,Funkenblitz mit Timer,Trait d'etincelle minute,?有定?的火花?,タイマ?付きのスパ?クボルト,타이머가 있는 불꽃 볼트,,,,
actiondesc_light_bullet_timer,A spark bolt that casts another spell after a timer runs out,"Искровая молния, через определенное время вызывает другое заклинание",Um virote de fagulha que lanca outro feitico quando o tempo acaba.,Un Rayo de chispa que lanza otro hechizo cuando se agota el tiempo,"Ein Funkenblitz, der einen weiteren Zauber auslost, nachdem ein Timer ablauft.",Un trait d'etincelle qui lance un autre sort a la fin d'une minuterie,在定??束后施放?一法?的火花?,時間切れになった後にもう1つの呪文をかけるスパ?クボルト,타이머가 만료되면 다른 주문을 시전하는 불꽃 볼트입니다.,,,,
action_bullet,Magic arrow,Волшебная стрела,Flecha magica,Flecha magica,Magischer Pfeil,Fleche magique,魔法箭,魔法の矢,마법 화살,,,,
actiondesc_bullet,A handy magical arrow,Удобная волшебная стрела,Uma flecha magica e bem util.,Una flecha magica util,Ein praktischer magischer Pfeil,Une fleche magique pratique,好用的魔法箭,便利な魔法の矢,유용한 마법 화살입니다.,,,,
